Site_ID,Mean_ERwc,Mean_Temp,Latitude,Longitude,ERwc
S36,"-7.383","17.171",46.314573,-120.199171,-7.383
S67,"-2.717","18.058",46.855643,-120.483696,-2.717
S30R,"-2.367","17.84666667",46.09521496,-120.5482254,-2.367
T02,"-2.193","20.27166667",46.232095,-119.999901,-2.193
S77,"-2.026","14.59666667",46.625578,-120.583712,-2.026
S68,"-1.977","19.68166667",46.855711,-120.484841,-1.977
T05,"-1.92","18.023",46.728776,-120.713733,-1.920
T07,"-1.827","20.06433333",46.255319,-119.47405,-1.827
T03,"-1.207","17",46.530817,-120.470337,-1.207
S55,"-1.107","16.49333333",46.663547,-120.805047,-1.107
W20,"-0.997","13.298",46.832844,-120.710935,-0.997
S82,"-0.846","15.293",46.53837,-120.480372,-0.846
W10,"-0.82","13.518",46.867453,-120.77439,-0.820
S73,"-0.812","16.68233333",46.98778012,-120.5710861,-0.812
S28RE,"-0.778","16.515",47.123516,-120.73817,-0.778
S72,"-0.747","14.08633333",46.99491,-120.590443,-0.747
S75,"-0.733","15.90233333",47.017577,-120.51748,-0.733
S63,"-0.71","12.02266667",46.041823,-120.573226,-0.710
U20,"-0.702","13.087",46.898642,-120.642233,-0.702
S56,"-0.676","12.099",46.620687,-120.626954,-0.676
S31,"-0.657","14.53366667",46.205978,-120.480969,-0.657
S24R,"-0.631","13.98633333",47.354254,-121.108406,-0.631
S79,"-0.579","15.984",46.763844,-120.456432,-0.579
S49R,"-0.571","14.403",46.724267,-120.813351,-0.571
S71,"-0.481","10.49533333",46.968185,-120.691204,-0.481
S28R,"-0.415","11.24833333",47.124215,-120.73804,-0.415
S20R,"-0.353","17.67166667",47.19028,-121.01556,-0.353
S51,"-0.342","13.06833333",46.729878,-120.803616,-0.342
S23,"-0.295","18.12333333",47.185944,-120.918817,-0.295
S14,"-0.213","14.715",47.41986,-121.087854,-0.213
S25,"-0.2","16.672",47.262537,-120.897057,-0.200
S39,"-0.189","13.48266667",46.016704,-120.649701,-0.189
S18R,"-0.113","12.327",47.39603,-121.096933,-0.113
S19E,"-0.111","18.61",47.255067,-120.878922,-0.111
S37,"-0.096","15.406",46.028244,-120.611858,-0.096
S32,"-0.069","14.706",46.23559571,-120.4191547,-0.069
S17R,"-0.057","13.92566667",47.394429,-121.10174,-0.057
S19,"-0.025","14.51733333",47.258225,-120.904118,-0.025
S29R,"0.06","17.263",47.082159,-120.733369,0.060
S15,"0.099","9.227666667",47.363498,-121.106919,0.099
S26R,"0.1","13.27666667",47.168488,-120.834427,0.100
S21R,"0.133","13.76466667",47.185797,-121.043826,0.133
S27R,"0.153","8.278",47.260155,-121.176851,0.153
S13R,"0.288","11.264",47.420551,-121.086972,0.288
S50,"0.357","17.38133333",46.631447,-120.521815,0.357
