Site_ID,ER_wc,Latitude,Longitude
S36,-0.113765,46.314573,-120.199171
S67,-0.044976,46.855643,-120.483696
S30R,-0.040675,46.09521496,-120.5482254
T02,-0.035717,46.232095,-119.999901
S68,-0.033298,46.855711,-120.484841
S77,-0.033235,46.625578,-120.583712
T07,-0.030754,46.255319,-119.47405
T05,-0.030523,46.728776,-120.713733
T03,-0.020414,46.530817,-120.470337
S55,-0.019397,46.663547,-120.805047
S82,-0.018361,46.53837,-120.480372
W20,-0.017304,46.832844,-120.710935
S24R,-0.015621,47.354254,-121.108406
S28RE,-0.015130,47.123516,-120.73817
S63,-0.014582,46.041823,-120.573226
S73,-0.014373,46.98778012,-120.5710861
W10,-0.013948,46.867453,-120.77439
S75,-0.013314,47.017577,-120.51748
S56,-0.012744,46.620687,-120.626954
S72,-0.012715,46.99491,-120.590443
U20,-0.012485,46.898642,-120.642233
S31,-0.012403,46.205978,-120.480969
S79,-0.011105,46.763844,-120.456432
S28R,-0.009819,47.124215,-120.73804
S49R,-0.009768,46.724267,-120.813351
S25,-0.006925,47.262537,-120.897057
S71,-0.006912,46.968185,-120.691204
S20R,-0.006302,47.19028,-121.01556
S51,-0.006020,46.729878,-120.803616
S14,-0.005979,47.41986,-121.087854
S23,-0.004123,47.185944,-120.918817
S39,-0.003235,46.016704,-120.649701
S19,-0.002343,47.258225,-120.904118
S32,-0.001985,46.23559571,-120.4191547
S18R,-0.001535,47.39603,-121.096933
S37,-0.001474,46.028244,-120.611858
S19E,-0.001058,47.255067,-120.878922
S17R,-0.000126,47.394429,-121.10174
S26R,0.000084,47.168488,-120.834427
S15,0.000269,47.363498,-121.106919
S29R,0.000768,47.082159,-120.733369
S21R,0.002067,47.185797,-121.043826
S13R,0.002808,47.420551,-121.086972
S27R,0.002879,47.260155,-121.176851
S50,0.005339,46.631447,-120.521815
S83,0.008414,47.239586,-121.227415
S38,0.025858,46.029003,-120.636526
