Sample_Name,Total_Number_of_Transformations,Number_of_Peaks,Normalized_Transformations
SPS_0054,57686,7382,7.814413438
SPS_0055,61895,7743,7.993671703
SPS_0056,62131,7562,8.216212642
SPS_0057,58066,7394,7.853124155
SPS_0058,56390,7565,7.454064772
SPS_0059,62214,7450,8.350872483
SPS_0001,54900,7422,7.396928052
SPS_0003,57709,7312,7.892368709
SPS_0004,61801,8061,7.666666667
SPS_0006,59876,7490,7.994125501
SPS_0007,52404,6855,7.64463895
SPS_0008,55322,7225,7.657024221
SPS_0009,50950,7335,6.946148603
SPS_0010,48028,6805,7.057751653
SPS_0012,54486,7269,7.495666529
SPS_0014,52294,7581,6.89803456
SPS_0015,49856,7407,6.730930201
SPS_0016,60092,7601,7.905801868
SPS_0017,55482,7353,7.545491636
SPS_0019,52253,7546,6.924595812
SPS_0020,46558,7245,6.426224983
SPS_0021,51056,7385,6.913473257
SPS_0022,57443,7587,7.571240279
SPS_0023,40530,6761,5.994675344
SPS_0025,52432,7537,6.956614037
SPS_0026,47820,7016,6.815849487
SPS_0027,59134,7473,7.913020206
SPS_0028,61003,7357,8.291830909
SPS_0029,54305,7229,7.512104025
SPS_0030,60363,7728,7.810947205
SPS_0031,60647,7900,7.676835443
SPS_0032,52999,7403,7.159124679
SPS_0033,51622,7084,7.287125918
SPS_0034,55027,7567,7.271970398
SPS_0035,61176,7437,8.225897539
SPS_0040,55163,7801,7.071272914
SPS_0041,60981,7616,8.006959034
SPS_0042,55205,7452,7.408078368
SPS_0043,51235,7538,6.796895728
SPS_0044,53869,7466,7.215242432
SPS_0045,55161,7425,7.429090909
SPS_0046,57966,7681,7.54667361
SPS_0047,57691,7848,7.351044852
SPS_0048,62612,8019,7.807956104
SPS_0049,61515,7765,7.922086285
SPS_0050,57583,7664,7.513439457
SPS_0053,61285,7742,7.915913201
